id,x,y,park_id,name,address,zip,acres,opened,status,type,img,web
167,-97.72060681,30.24650036,364,Peace Point at Town Lake Metro Park,"2200 S Lakeshore Blvd., Austin, Texas 78741",78741,5.46668977,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
168,-97.75289317,30.28130195,240,Pease District Park,"1100 Kingsbury St., Austin, Texas  78703",78703,42.68088432,,Open,District,no.jpg,https://www.austinparks.org/parks/
169,-97.81093921,30.4385988,244,Pickfair Pocket Park,"10904 Pickfair Dr., Austin, Texas 78750",78750,1.2359355,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
170,-97.73706293,30.26325816,236,Sir Swante Palm Neighborhood Park,"200 N IH 35 Svrd SB, Austin, Texas 78701",78701,3.24240255,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
171,-97.70573099,30.36458741,258,Ron Rigsby Pocket Park,"1110 Little Elm Park, Austin, Texas 78758",78758,0.95433837,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
172,-97.71968686,30.32759194,254,Reilly School Park,"6001 Guadalupe St., Austin, Texas 78752",78752,7.17165769,1964,Open,School,no.jpg,https://www.austinparks.org/parks/
173,-97.712379,30.26334946,238,Parque Zaragoza Neighborhood Park,"2608 Gonzales St., Austin, Texas 78702",78702,15.38511145,1931,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
174,-97.70057161,30.36685293,355,North Austin Recreation Center/YMCA,"1000 W Rundberg Ln., Austin, Texas 78758",78758,7.00079511,2007,Open,Special,no.jpg,https://www.austinparks.org/parks/
175,-97.71955441,30.35503564,320,Wooten Neighborhood Park,"1500 Dale Dr., Austin, Texas 78757",78757,6.58160113,1954,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
176,-97.80512258,30.16093052,357,Nuckols Crossing of Slaughter Creek Greenbelt,"400 Angel Oak St., Austin, Texas 78748",78748,12.30190679,2008,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
177,-97.72936313,30.27438656,285,Swede Hill Pocket Park,"907 E 14th St., Austin, Texas 78702",78702,0.86839319,,Open,Pocket,no.jpg,https://www.austinparks.org/parks/
178,-97.71382773,30.27062281,259,Rosewood Neighborhood Park,"2300 Rosewood Ave., Austin, Texas 78702",78702,14.22276674,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
179,-97.74166201,30.18505273,261,Roy Kizer Golf Course,"5400 Jimmy Clay Dr., Austin, Texas 78744",78744,265.1906574,,Open_Fee,Golf Course,no.jpg,https://www.austinparks.org/parks/
180,-97.72181581,30.33897653,383,Ryan Planting Strip,"6900 Ryan Dr., Austin, Texas 78757",78757,0.24088698,,Closed,Planting Strips/Triangles,no.jpg,https://www.austinparks.org/parks/
181,-97.73511556,30.27168144,286,Symphony Square,"1101 Red River St., Austin, Texas 78701",78701,0.48712818,,Open_Restricted,Special,no.jpg,https://www.austinparks.org/parks/
182,-97.75680616,30.38406419,282,Steck Valley Greenbelt,"8403 Adirondack Trl., Austin, Texas 78759",78759,38.35643094,,Open_Restricted,Greenbelt,no.jpg,https://www.austinparks.org/parks/
183,-97.67130541,30.30830842,263,Schieffer Tract,"3404 Hycreek Dr., Austin, Texas 78723",78723,4.35596015,,Open,Special,no.jpg,https://www.austinparks.org/parks/
184,-97.77258837,30.22185227,280,St. Elmo School Park,"4312 S 1st St., Austin, Texas 78745",78745,5.51527426,,Open,School,no.jpg,https://www.austinparks.org/parks/
185,-97.68371896,30.42019038,265,Scofield Farms Neighborhood Park,"12901 Scofield Farms Dr., Austin, Texas 78727",78727,25.16562062,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
186,-97.85881754,30.20399368,325,Sendera Mesa Neighborhood Park,"4717 Davis Ln., Austin, Texas 78749",78749,4.61649392,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
187,-97.76583735,30.34417964,384,Shinoak Valley Greenbelt,"3900 Dry Creek Dr., Austin, Texas 78731",78731,10.46021446,,Open_Restricted,Greenbelt,no.jpg,https://www.austinparks.org/parks/
188,-97.81177801,30.23812109,163,Gaines Greenbelt,"4800 S Mopac Expy., Austin, Texas 78735",78735,120.9867143,,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
189,-97.73931887,30.29510898,100,Adams-Hemphill Neighborhood Park,"201 W 30th St., Austin, Texas  78705",78705,9.9830874,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
190,-97.69529591,30.30470971,113,Bartholomew District Park,"5201 Berkman Dr., Austin, Texas 78723",78723,50.59388057,,Open,District,no.jpg,https://www.austinparks.org/parks/
191,-97.74444236,30.26026379,290,Auditorium Shores at Town Lake Metro Park,"800 W Riverside Dr., Austin, Texas 78704",78704,48.57836784,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
192,-97.77007003,30.27478373,107,Austin High Tennis Center,"1717 W Cesar Chavez St., Austin, Texas 78703",78703,3.21819298,,Open_Fee,Special,no.jpg,https://www.austinparks.org/parks/
193,-97.74823644,30.29789368,189,Lamar Senior Activity Center,"2874 Shoal Crest Ave., Austin, Texas 78705",78705,1.98539339,,Open,Special,no.jpg,https://www.austinparks.org/parks/
194,-97.86538801,30.21145614,149,Dick Nichols District Park,"8011 Beckett Rd., Austin, Texas 78749",78749,135.1562011,,Open,District,no.jpg,https://www.austinparks.org/parks/
195,-97.7839373,30.46858778,386,Forest North Neighborhood Park,"13320 Lyndhurst St., Austin, Texas 78729",78729,2.25218334,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
196,-97.75780271,30.29664105,362,Hartford Triangle,"1605 Ethridge Ave., Austin, Texas 78703",78703,0.56905296,,Closed,Planting Strips/Triangles,no.jpg,https://www.austinparks.org/parks/
197,-97.83547441,30.24367972,164,Gaines Creek Neighborhood Park,"4801 Republic of Texas Blvd., Austin, Texas 78735",78735,37.91094609,,Open,Neighborhood,no.jpg,https://www.austinparks.org/parks/
198,-97.75378735,30.26302024,358,Butler Metro Park,"1000 Barton Springs Rd. Austin, Texas 78704",78704,20.70601073,,Open,Metropolitan,no.jpg,https://www.austinparks.org/parks/
199,-97.75054331,30.27870547,108,Austin Recreation Center,"1301 Shoal Creek Blvd., Austin, Texas 78701",78701,5.48733039,,Open,Special,no.jpg,https://www.austinparks.org/parks/
200,-97.59184156,30.22841405,106,Austin's Colony Neighborhood Park,"14501 Lippincott St. Austin, Texas 78725",78725,9.23403176,,Open_Restricted,Neighborhood,no.jpg,https://www.austinparks.org/parks/
201,-97.86688253,30.22050288,190,Latta Branch Greenbelt,"7910 Beckett Rd., Austin, Texas 78749",78749,125.7177594,,Open,Greenbelt,no.jpg,https://www.austinparks.org/parks/
202,-97.69737956,30.36086536,111,Barrington School Park,"9306 Glenn Ln., Austin, Texas 78753",78753,7.67750785,,Open,School,no.jpg,https://www.austinparks.org/parks/
